Player,Inns,Runs,Overs,Conc,Wkts,Ct,St,Opposition,Ground,StartDate,Result
BKumar,2,0,5,9,2,0,0,vWestIndies,PortofSpain,6/25/2017,no
ARPatel,2,0,4.1,9,2,0,0,vNewZealand,Visakhapatnam,10/29/2016,no
RAJadeja,2,0,7,12,2,0,0,vEngland,Kochi,1/15/2013,no
BKumar,1,0,8,14,2,0,0,vEngland,Birmingham,9/2/2014,no
UTYadav,1,0,6.3,15,2,0,0,vU.A.E.,Perth,2/28/2015,no
RAshwin,2,0,4,15,2,3,0,vEngland,Birmingham,6/23/2013,no
BBSran,1,0,6,17,2,0,0,vZimbabwe,Harare,6/13/2016,yes
RAJadeja,2,0,5,17,2,1,0,vSriLanka,PortofSpain,7/9/2013,yes
ISharma,2,0,4,17,2,0,0,vSriLanka,PortofSpain,7/9/2013,yes
BKumar,1,0,8,19,2,0,0,vPakistan,Birmingham,6/15/2013,yes
JJBumrah,1,0,6.2,22,2,0,0,vSriLanka,Dambulla,8/20/2017,yes
KMJadhav,1,0,6,22,2,0,0,vBangladesh,Birmingham,6/15/2017,yes
RAJadeja,1,0,5,23,2,0,0,vU.A.E.,Perth,2/28/2015,yes
BKumar,1,0,7.3,23,2,1,0,vSouthAfrica,TheOval,6/11/2017,yes
BKumar,1,0,8,24,2,2,0,vSriLanka,PortofSpain,7/11/2013,yes
RAJadeja,2,0,4,24,2,0,0,vEngland,Birmingham,6/23/2013,yes
ARPatel,2,0,6,24,2,1,0,vSriLanka,Cuttack,11/2/2014,yes
UTYadav,2,0,6.2,24,2,0,0,vSriLanka,Cuttack,11/2/2014,yes
YSChahal,1,0,8,25,2,1,0,vZimbabwe,Harare,6/15/2016,yes
MohammedShami,1,0,9,25,2,1,0,vZimbabwe,Harare,7/28/2013,yes
BKumar,2,0,10,25,2,0,0,vWestIndies,Dharamsala,10/17/2014,yes
KMJadhav,1,0,5,26,2,1,0,vSriLanka,Dambulla,8/20/2017,yes
MMSharma,1,0,10,26,2,0,0,vZimbabwe,Bulawayo,8/1/2013,yes
