Player,Runs,Mins,BF,4s,6s,SR,Inns,Opposition,Ground,StartDate,Result
RAshwin,5,4,2,1,0,250,1,vBangladesh,Bengaluru,23/03/16,no
RRPant,5,11,3,1,0,166.66,1,vEngland,Bengaluru,1/2/2017,no
RGSharma,5,1,3,1,0,166.66,1,vAustralia,Dhaka,30/03/14,no
KMJadhav,5,0,6,0,0,83.33,2,vZimbabwe,Harare,19/07/15,no
MSDhoni,5,20,8,0,0,62.5,1,vSouthAfrica,Cuttack,5/10/2015,no
SDhawan,5,24,8,0,0,62.5,1,vAustralia,Adelaide,26/01/16,no
RGSharma,5,0,7,0,0,71.42,2,vNewZealand,Nagpur,15/03/16,no
ParvezRasool,5,15,6,0,0,83.33,1,vEngland,Kanpur,26/01/17,no
MSDhoni,5,16,7,0,0,71.42,1,vEngland,Nagpur,29/01/17,no
RGSharma,4,1,2,1,0,200,1,vPakistan,Ahmedabad,28/12/12,no
MSDhoni,4,10,7,0,0,57.14,1,vSriLanka,Dhaka,6/4/2014,no
AMRahane,4,9,4,0,0,100,2,vWestIndies,Lauderhill,28/08/16,no
YuvrajSingh,4,6,5,0,0,80,1,vEngland,Mumbai,22/12/12,no
AMRahane,4,0,3,1,0,133.33,2,vZimbabwe,Harare,19/07/15,no
AMRahane,4,3,4,1,0,100,1,vSriLanka,Pune,9/2/2016,no
YuvrajSingh,4,0,5,1,0,80,2,vNewZealand,Nagpur,15/03/16,no
MandeepSingh,4,14,6,0,0,66.66,1,vZimbabwe,Harare,22/06/16,no
YuvrajSingh,4,9,12,0,0,33.33,1,vEngland,Nagpur,29/01/17,no
KMJadhav,4,0,4,0,0,100,1,vWestIndies,Kingston,9/7/2017,no
ABDinda,3,8,4,0,0,75,1,vPakistan,Bengaluru,25/12/12,no
ATRayudu,3,15,5,0,0,60,2,vEngland,Birmingham,7/9/2014,no
MMSharma,3,0,3,0,0,100,2,vZimbabwe,Harare,19/07/15,no
AMRahane,3,8,5,0,0,60,1,vEngland,Mumbai,22/12/12,no
RAJadeja,3,9,3,0,0,100,1,vAustralia,Dhaka,30/03/14,no
AMRahane,3,6,8,0,0,37.5,1,vSriLanka,Dhaka,6/4/2014,no
SDhawan,3,16,4,0,0,75,1,vSouthAfrica,Dharamsala,2/10/2015,no
YuvrajSingh,3,8,6,0,0,50,1,vBangladesh,Bengaluru,23/03/16,no
MKPandey,3,4,5,0,0,60,1,vEngland,Kanpur,26/01/17,no
RAshwin,2,5,3,0,0,66.66,1,vAustralia,Dhaka,30/03/14,no
ARPatel,2,7,3,0,0,66.66,1,vSouthAfrica,Dharamsala,2/10/2015,no
VKohli,2,5,6,0,0,33.33,1,vSouthAfrica,Colombo(RPS),2/10/2012,no
RGSharma,2,8,2,0,0,100,1,vPakistan,Bengaluru,25/12/12,no
RAJadeja,2,4,4,0,0,50,1,vPakistan,Bengaluru,25/12/12,no
MSDhoni,2,2,2,0,0,100,1,vSriLanka,Pune,9/2/2016,no
HHPandya,2,10,6,0,0,33.33,1,vSriLanka,Pune,9/2/2016,no
SDhawan,2,6,4,0,0,50,1,vBangladesh,Dhaka,24/02/16,no
HHPandya,2,3,4,0,0,50,2,vSriLanka,Dhaka,1/3/2016,no
HHPandya,2,3,3,0,0,66.66,1,vEngland,Nagpur,29/01/17,no
VKohli,2,6,4,0,0,50,1,vEngland,Bengaluru,1/2/2017,no
MSDhoni,2,0,3,0,0,66.66,1,vWestIndies,Kingston,9/7/2017,no
RGSharma,1,2,1,0,0,100,1,vAfghanistan,Colombo(RPS),19/09/12,no
SKRaina,1,2,1,0,0,100,1,vEngland,Colombo(RPS),23/09/12,no
HarbhajanSingh,1,2,1,0,0,100,1,vAustralia,Colombo(RPS),28/09/12,no
SKRaina,1,4,1,0,0,100,1,vPakistan,Ahmedabad,28/12/12,no
SKRaina,1,2,1,0,0,100,2,vWestIndies,Dhaka,23/03/14,no
SandeepSharma,1,0,1,0,0,100,2,vZimbabwe,Harare,19/07/15,no
RAJadeja,1,0,1,0,0,100,1,vSriLanka,Ranchi,12/2/2016,no
RDhawan,1,0,2,0,0,50,2,vZimbabwe,Harare,18/06/16,no
DSKulkarni,1,7,1,0,0,100,1,vZimbabwe,Harare,22/06/16,no
MSDhoni,1,0,1,0,0,100,2,vSriLanka,Colombo(RPS),6/9/2017,no
RGSharma,1,5,2,0,0,50,1,vAustralia,Colombo(RPS),28/09/12,no
RAshwin,1,5,3,0,0,33.33,1,vEngland,Mumbai,22/12/12,no
MSDhoni,1,7,2,0,0,50,1,vPakistan,Bengaluru,25/12/12,no
YuvrajSingh,1,3,2,0,0,50,2,vPakistan,Dhaka,21/03/14,no
SDhawan,1,11,6,0,0,16.66,2,vBangladesh,Dhaka,28/03/14,no
VKohli,1,3,1,0,0,100,1,vSouthAfrica,Cuttack,5/10/2015,no
SKRaina,1,10,4,0,0,25,2,vPakistan,Dhaka,27/02/16,no
SDhawan,1,9,3,0,0,33.33,2,vSriLanka,Dhaka,1/3/2016,no
RGSharma,1,8,5,0,0,20,2,vBangladesh,Dhaka,6/3/2016,no
